Video Time,Commenter,Time,Comment
,Fardin Islam,,NOUKAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
,MD RAKIB MIA,,joy Bangla
,MD MOTIAR RAHMAN,,তুমি কেনে আহত হইলা না
,Farhan Monsur,,সোনাভানের পুথি আর কত শুনবো।
,Voice of Kasba,,কমেন্ট গুলো দেখে আমি হতাশ....
,Rafi Ahmed,,হিরো আলমকে উপদেষ্টা বানানো হোক।
,Shahin Alam,,বশির উদ্দিন এবং মোস্তফা সরয়ার ফারুকী পদত্যাগ চাই চাই দিতে হবে
,Md Imran,,জয় বাংলা জয় বঙ্গবন্ধু
,Md Tarikul Islam Taj,,"৫ মাস থেকে বেতন পাইনা,,এর দায় কার??"
,Rasel Islam,,আলহামদুলিল্লাহ
,Sakib Hossain,,
,joy,,জয় বাংলা জয় বঙ্গবন্ধু
,SARA RAHMAN,,জয় বাংলা
,Sajjat Shake,,thanks
,মেধার মঞ্চ,,উপদেষ্টা পরিষদ থেকে ফারুকী সহ আওয়ামী ল্যাসপেন্সারদের বাদ দেন। উপদেষ্টা পরিষদ ভালো করে সাজানো আপনার দায়িত্ব।
,P.R.D.,,জয় হাসিনা জয় বাংলা জয় ভারত
,Doraemon lover,,জয় পদ্মাসেতুর নাটবল্টু
,md naem,,দ্রব্য মুল্যের দিকে ফোকাস না দিলে সবাই মারা যাবো
,Avi,,mitta ktha bolien na
,MSR,,দ্রব্যমূল্যের দিকে তাকান।
,MD MAHMUDUL ISLAM,,hey Yunus
,hozrat Ali,,আমরা বালো কিচু আসা করি
,Omar Faruq,,গুড
,Fardin Islam,,NOUKA
,Md Mahibul Islam,,ট্রাম্পলীগ
,B So,,আলহামদুলিল্লাহ
,Jonait Kowsher,,
,Nahid Islam official,,ফারুকির অপসারন চাই
,Md Alamin,,জামাত ইসলামি সিরাজ গজ
,Nazmul Islam,,আহতদের জন্য কচু করছেন! এর
,jasim uddin,,নৌকা নৌকা নৌকা নৌকা
,Islam Mia,,আগে আইনি কাঠামো ঠিক করো
,Tasnim,,hmm
,md s alom,,thanks
,Shamimbhuyah,,বাংলাদেশে নির্বাচন চাই নির্বাচন
,Hossain Masum,,এসব মিথ্যে আশ্বাস দিয়ে মানুষকে লাভ নাই
,Nazmul Nazmulhuda,,ফারুকীর পদত্যাগ চাই
,Star Tv 24,,ফারুকীর পদত্যাগ চাই
,Garden & Pet Lovers,,ইনশাআল্লাহ বিচার হতেই হবে।
,NEW TIME 99,,শুভকামনা রইল
,Red Entertainment,,"আপনি এই পানি পড়া কতদিন চালাইবেন,জাতি জানতে চায়"
,opps,,ইসরাইল এর জয়
,Nutri,,ban harpic league
,Omar Faruq,,Go ahead
,Fuad Ahmed,,জয় bongoboltu
,Md Imran,,জয় বাংলা জয় বঙ্গবন্ধু শেখ হাসিনা সরকার বার বার দরকার
,Aizen,,ছাত্র আন্দোলন কে ব্যবহার করে রাজনৈতিক দুর্বৃত্তদের ব্যবহার করে #পুলিশ হত্যা ছিল তাদের 'মেটিকুলাস প্ল্যান' এর অংশ|#BangladeshCrisis #SaveBangladesh #BangladeshPolice #AttackOnPolice #DrYunus
,Happy Cabin,,এনজিও আর দেশ চালানো এক নয় বাপু
,Md.Mohiuddin Mim,,হাসিনার বিচার করতেই হবে।
,Noore Alam,,জয় বাংলা
,Ijaj Ahmed Ripon,,ইনকিলাব জিন্দাবাদ
,Anik Hasan anik,,joy baglaaaaa
,Farhan Monsur,,লীগ
,nurmike computer,,জয় বাংলা. জয় বঙ্গবন্ধু
,Sm Firoz,,আলহামদুলিল্লাহ
,Avi,,
,Ema,,carry-on
,Ali Hassan Bappy,,ভারতের চারপাশের দেশগুলোর সাথে বন্ধুত্ব করতে হবে আমাদের
,MD Ruhul Amin,,আওয়ামী লীগ দেরকে উপদেষ্টা নিয়োগ দিচ্ছেন কেনো
,Md Alom,,আলহামদুলিল্লাহ
,ASADULAH,,আল্লাহ সকল কে সঠিক বিচার পাওয়ার তৌফিক দান করুন।
,Moja,,কমেন্ট পড়তে আসলাম
,AAT Technology 2024,,hasu apa gamja khor
,Subarna's plantbook,,good luck
,Uzzal Hasan,,চলতে থাকুক সংস্কার। ধৈর্য ধরে সাথে আছি।
,US Dollor,,100
,MD MAHMUDUL ISLAM,,hey yunus
,Md Ebrahim,,দ্রব্যমূল্যের দাম অনেক বেশি এগুলো নিয়ে কাজ করতে হবে
